,Days Since Reopen,Prediction,Actual,Difference,Relative
0,0,,716,,
1,1,,664,,
2,2,,552,,
3,3,,597,,
4,4,,581,,
5,5,,749,,
6,6,,805,,
7,7,,703,,
8,8,,616,,
9,9,,391,,
10,10,,524,,
11,11,,625,,
12,12,,875,,
13,13,,918,,
14,14,,726,,Over
15,15,671.4195624238346,533,-138.41956242383458,Under
16,16,720.5887082395493,518,-202.5887082395493,Under
17,17,724.132543969783,588,-136.132543969783,Under
18,18,704.3194320559269,692,-12.319432055926882,Under
19,19,683.7163151378627,584,-99.7163151378627,Under
20,20,674.4096169620752,786,111.59038303792477,Over
21,21,662.0254468929488,730,67.97455310705118,Over
22,22,664.5593275660067,677,12.440672433993313,Over
23,23,671.3445442966768,557,-114.34454429667676,Under
24,24,676.7424997450435,912,235.25750025495654,Over
25,25,673.6211847182713,831,157.37881528172875,Over
26,26,685.6762767141918,769,83.32372328580823,Over
27,27,702.6671061444795,776,73.33289385552052,Over
28,28,719.1192843251047,754,34.88071567489533,Over
29,29,734.9363782200962,502,-232.93637822009623,Under
30,30,748.7282337030629,519,-229.72823370306287,Under
31,31,749.6563070936827,,,
